title:Classlersticks
description:Gotta Catch'em All

//notes: Classlersticks, Hunter
dimwishlist:item=2809120022&perks=1476923952,1476923955
dimwishlist:item=2809120022&perks=1476923952,1476923956
dimwishlist:item=2809120022&perks=1476923952,1476923957
dimwishlist:item=2809120022&perks=1476923952,3751917992
dimwishlist:item=2809120022&perks=1476923953,1476923955
dimwishlist:item=2809120022&perks=1476923953,1476923956
dimwishlist:item=2809120022&perks=1476923953,1476923957
dimwishlist:item=2809120022&perks=1476923953,3751917994
dimwishlist:item=2809120022&perks=1476923953,3751917992
dimwishlist:item=2809120022&perks=3751917999,1476923956
dimwishlist:item=2809120022&perks=3751917999,3751917992
dimwishlist:item=2809120022&perks=3751917999,3751917990
dimwishlist:item=2809120022&perks=3751917998,1476923955
dimwishlist:item=2809120022&perks=3751917998,1476923956
dimwishlist:item=2809120022&perks=3751917998,1476923957
dimwishlist:item=2809120022&perks=3751917998,3751917994
dimwishlist:item=2809120022&perks=3751917998,3751917992
dimwishlist:item=2809120022&perks=3751917997,1476923956
dimwishlist:item=2809120022&perks=3751917997,1476923957
dimwishlist:item=2809120022&perks=3751917997,3751917992
dimwishlist:item=2809120022&perks=3751917996,1476923956
dimwishlist:item=2809120022&perks=3751917996,1476923957
dimwishlist:item=2809120022&perks=3751917996,3751917994
dimwishlist:item=2809120022&perks=3751917996,3751917992
dimwishlist:item=2809120022&perks=3751917995,1476923955
dimwishlist:item=2809120022&perks=3751917995,1476923956
dimwishlist:item=2809120022&perks=3751917995,3751917994
dimwishlist:item=2809120022&perks=3751917995,3751917993
dimwishlist:item=2809120022&perks=3751917995,3751917992

//notes: Classlersticks, Titan
dimwishlist:item=266021826&perks=1476923952,1476923955
dimwishlist:item=266021826&perks=1476923952,1476923956
dimwishlist:item=266021826&perks=1476923952,1476923957
dimwishlist:item=266021826&perks=1476923952,3573490504
dimwishlist:item=266021826&perks=1476923953,1476923955
dimwishlist:item=266021826&perks=1476923953,1476923956
dimwishlist:item=266021826&perks=1476923953,1476923957
dimwishlist:item=266021826&perks=1476923953,3573490504
dimwishlist:item=266021826&perks=1476923953,3573490507
dimwishlist:item=266021826&perks=1476923953,3573490501
dimwishlist:item=266021826&perks=1476923953,3573490500
dimwishlist:item=266021826&perks=3573490509,1476923956
dimwishlist:item=266021826&perks=3573490509,3573490504
dimwishlist:item=266021826&perks=3573490511,1476923955
dimwishlist:item=266021826&perks=3573490510,1476923955
dimwishlist:item=266021826&perks=3573490510,1476923957
dimwishlist:item=266021826&perks=3573490510,3573490504
dimwishlist:item=266021826&perks=3573490510,3573490507
dimwishlist:item=266021826&perks=3573490510,3573490502
dimwishlist:item=266021826&perks=3573490510,3573490501
dimwishlist:item=266021826&perks=3573490505,1476923955
dimwishlist:item=266021826&perks=3573490505,3573490500

//notes: Classlersticks, Warlock
dimwishlist:item=2273643087&perks=1476923952,1476923955
dimwishlist:item=2273643087&perks=1476923952,1476923956
dimwishlist:item=2273643087&perks=1476923952,1476923957
dimwishlist:item=2273643087&perks=1476923952,183430254
dimwishlist:item=2273643087&perks=1476923953,1476923955
dimwishlist:item=2273643087&perks=1476923953,1476923956
dimwishlist:item=2273643087&perks=1476923953,1476923957
dimwishlist:item=2273643087&perks=1476923953,183430254
dimwishlist:item=2273643087&perks=183430252,1476923955
dimwishlist:item=2273643087&perks=183430252,1476923956
dimwishlist:item=2273643087&perks=183430252,183430254
dimwishlist:item=2273643087&perks=183430252,183430247
dimwishlist:item=2273643087&perks=183430253,1476923955
dimwishlist:item=2273643087&perks=183430253,1476923956
dimwishlist:item=2273643087&perks=183430253,1476923957
dimwishlist:item=2273643087&perks=183430253,183430254
dimwishlist:item=2273643087&perks=183430250,1476923955
dimwishlist:item=2273643087&perks=183430250,1476923957
dimwishlist:item=2273643087&perks=183430250,183430254
